crow 乌鸦；鸡鸣；撬棍
cruise 巡航，巡游；乘船游览
crush 粉碎；迷恋；压榨；拥挤的人群
crust 地壳；外壳；面包皮；坚硬外皮
cry 叫喊；叫声；口号；呼叫
crystal 结晶，晶体；水晶；水晶饰品
cube 立方；立方体；骰子
cue 提示，暗示；线索
culminate 使结束；使达到高潮
culprit 犯人，罪犯；被控犯罪的人
culture 文化，文明；修养；栽培
cumulative 累积的
cup 杯子；奖杯；酒杯
cupboard 碗柜；食橱
curiosity 好奇，好奇心；珍品，古董，古玩
curl 卷曲；卷发；螺旋状物
curtain 幕；窗帘
cushion 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
custody 保管；监护；拘留；抚养权
customer 顾客；家伙
cut 伤口；切口；削减；（服装等的）式样；削球；切入
cylinder 圆筒；汽缸； 柱面；圆柱状物
daily 日报；朝来夜去的女佣
dairy 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
dam 水坝；障碍
damn 一点；诅咒
damp 潮湿，湿气
dance 舞蹈；舞会；舞曲
darling 心爱的人；亲爱的
data 数据（datum的复数）；资料
date 日期；约会；年代；枣椰子
daughter 女儿； 子代
daunting 使人畏缩的；使人气馁的；令人怯步的
day 一天；时期；白昼
daylight 白天；日光；黎明；公开
dazzle 耀眼的光；灿烂
dead 死者
deaf 聋的
dear 亲爱的人
death 死；死亡；死神；毁灭
debut 初次登台；开张
deceit 欺骗；谎言；欺诈手段
deceive 欺骗；行骗
december 十二月
decimal 小数
deck 甲板；行李仓；露天平台
decree 法令；判决
deduct 扣除，减去；演绎
deed 行动；功绩；证书； 契据
deep 深处；深渊
deer 鹿
defect 缺点，缺陷；不足之处
defense 防卫，防护；防御措施；防守
deficit 赤字；不足额
defy 挑战；对抗
degenerate 堕落的人
delegate 代表
delicious 美味的；可口的
denial 否认；拒绝；节制；背弃
denounce 谴责；告发；公然抨击；通告废除
deny 否认；拒绝
department 部；部门；系；科；局
depend 依赖，依靠；取决于；相信，信赖
deplete 耗尽，用尽；使衰竭，使空虚
deplore 谴责；悲悼；哀叹；对…深感遗憾
deposit 存款；押金；订金；保证金；沉淀物
depress 压抑；使沮丧；使萧条
depth 深度；深奥
deputy 代理人，代表
descend 下降；下去；下来；遗传；屈尊
descent 下降；血统；袭击
describe 描述，形容；描绘
desire 欲望；要求，心愿；性欲
